	0
ENSMUSG00000000056	-0.11185696
ENSMUSG00000000078	-0.10292643
ENSMUSG00000000085	-0.5489373
ENSMUSG00000000088	-0.44069117
ENSMUSG00000000131	-0.017710228
ENSMUSG00000000148	-0.26983395
ENSMUSG00000000149	-0.07909332
ENSMUSG00000000168	-0.3296275
ENSMUSG00000000171	0.050738096
ENSMUSG00000000184	0.16268824
ENSMUSG00000000194	-0.30470935
ENSMUSG00000000275	-0.30492687
ENSMUSG00000000282	-0.044165973
ENSMUSG00000000295	-0.39019775
ENSMUSG00000000296	-0.3108514
ENSMUSG00000000303	-0.028365988
ENSMUSG00000000325	-0.29683214
ENSMUSG00000000326	-0.34162244
ENSMUSG00000000339	0.0071837767
ENSMUSG00000000340	-0.27041188
ENSMUSG00000000346	-0.11568955
ENSMUSG00000000365	-0.08402238
ENSMUSG00000000384	-0.20491584
ENSMUSG00000000399	-0.43281692
ENSMUSG00000000409	-0.26598006
ENSMUSG00000000420	-0.6616224
ENSMUSG00000000439	-0.37867218
ENSMUSG00000000441	-0.23215461
ENSMUSG00000000552	-0.18225619
ENSMUSG00000000555	-0.072588004
ENSMUSG00000000561	-0.43620032
ENSMUSG00000000563	-0.032581516
ENSMUSG00000000568	-0.14134939
ENSMUSG00000000581	-0.32350105
ENSMUSG00000000594	-0.23598978
ENSMUSG00000000600	0.010402148
ENSMUSG00000000605	-0.09342292
ENSMUSG00000000628	-0.4027564
ENSMUSG00000000631	-0.16187951
ENSMUSG00000000711	-0.67711806
ENSMUSG00000000730	-0.026646663
ENSMUSG00000000740	-0.40901437
ENSMUSG00000000743	-0.08029604
ENSMUSG00000000751	-0.31068128
ENSMUSG00000000759	-0.11357651
ENSMUSG00000000776	-0.20893244
ENSMUSG00000000782	-0.17608657
ENSMUSG00000000804	-0.4027408
ENSMUSG00000000805	-0.31154323
ENSMUSG00000000823	-0.20518382
ENSMUSG00000000826	-0.23053584
ENSMUSG00000000827	0.11259504
ENSMUSG00000000838	-0.02010214
ENSMUSG00000000881	0.13110343
ENSMUSG00000000884	-0.08870061
ENSMUSG00000000902	-0.11706738
ENSMUSG00000000916	-0.28004295
ENSMUSG00000000958	-0.021678591
ENSMUSG00000000959	-0.22783613
ENSMUSG00000000976	-0.505586
ENSMUSG00000001016	-0.117222175
ENSMUSG00000001017	-0.23151498
ENSMUSG00000001018	-0.09548665
ENSMUSG00000001034	-0.08252568
ENSMUSG00000001036	-0.42652965
ENSMUSG00000001039	-0.53855026
ENSMUSG00000001054	-0.17648417
ENSMUSG00000001056	-0.5577811
ENSMUSG00000001082	0.10930035
ENSMUSG00000001089	0.05755223
ENSMUSG00000001100	-0.3105134
ENSMUSG00000001105	-0.22600059
ENSMUSG00000001120	-0.40854603
ENSMUSG00000001134	-0.23578104
ENSMUSG00000001138	-0.33394724
ENSMUSG00000001143	-0.12606777
ENSMUSG00000001150	-0.24340391
ENSMUSG00000001151	-0.35835853
ENSMUSG00000001157	-0.4149548
ENSMUSG00000001158	-0.40043598
ENSMUSG00000001175	-0.4439885
ENSMUSG00000001211	0.22118516
ENSMUSG00000001229	-0.057344027
ENSMUSG00000001240	-0.38549918
ENSMUSG00000001247	-0.09912967
ENSMUSG00000001248	-0.036803424
ENSMUSG00000001249	0.057242226
ENSMUSG00000001270	0.110035636
ENSMUSG00000001285	-0.3642307
ENSMUSG00000001288	-0.42841816
ENSMUSG00000001300	-0.01343142
ENSMUSG00000001305	-0.406816
ENSMUSG00000001376	0.0065347888
ENSMUSG00000001380	-0.4115905
ENSMUSG00000001403	-0.15739769
ENSMUSG00000001415	-0.10175896
ENSMUSG00000001416	-0.07838942
ENSMUSG00000001418	0.16283755
ENSMUSG00000001419	0.011570618
ENSMUSG00000001435	0.01838825
ENSMUSG00000001440	0.017346546
ENSMUSG00000001441	-0.50494754
ENSMUSG00000001445	-0.2772783
ENSMUSG00000001467	-0.23431976
ENSMUSG00000001472	-0.18113378
ENSMUSG00000001473	-0.08940469
ENSMUSG00000001507	0.051557332
ENSMUSG00000001517	-0.28862214
ENSMUSG00000001518	-0.57550937
ENSMUSG00000001521	-0.04477153
ENSMUSG00000001524	-0.21840735
ENSMUSG00000001542	-0.083148025
ENSMUSG00000001552	-0.053376995
ENSMUSG00000001555	-0.5392631
ENSMUSG00000001569	-0.20930846
ENSMUSG00000001576	-0.66349274
ENSMUSG00000001604	-0.20593591
ENSMUSG00000001630	-0.4702397
ENSMUSG00000001632	0.046923637
ENSMUSG00000001642	-0.35016382
ENSMUSG00000001666	-0.18385501
ENSMUSG00000001674	0.15376768
ENSMUSG00000001687	-0.34646836
ENSMUSG00000001700	-0.24915175
ENSMUSG00000001707	-0.07705238
ENSMUSG00000001750	0.09250198
ENSMUSG00000001755	-0.12052268
ENSMUSG00000001761	-0.3927335
ENSMUSG00000001767	-0.13749191
ENSMUSG00000001774	-0.17608555
ENSMUSG00000001785	-0.19238837
ENSMUSG00000001786	-0.20163247
ENSMUSG00000001829	-0.32019985
ENSMUSG00000001833	-0.032463633
ENSMUSG00000001844	-0.1956627
ENSMUSG00000001847	-0.2216686
ENSMUSG00000001855	-0.2891888
ENSMUSG00000001891	-0.17527182
ENSMUSG00000001910	-0.2139802
ENSMUSG00000001918	0.08590271
ENSMUSG00000001983	-0.5086033
ENSMUSG00000001998	0.27283987
ENSMUSG00000002006	0.082176894
ENSMUSG00000002010	0.16690299
ENSMUSG00000002014	-0.0037049432
ENSMUSG00000002015	0.08016573
ENSMUSG00000002017	-0.27555782
ENSMUSG00000002028	0.037066907
ENSMUSG00000002031	-0.6358206
ENSMUSG00000002052	0.07489372
ENSMUSG00000002055	-0.17489131
ENSMUSG00000002058	-0.54141486
ENSMUSG00000002059	-0.35599643
ENSMUSG00000002064	0.003656006
ENSMUSG00000002068	-0.32513458
ENSMUSG00000002076	-0.09966165
ENSMUSG00000002102	-0.33546036
ENSMUSG00000002103	-0.20819564
ENSMUSG00000002129	-0.32629535
ENSMUSG00000002147	-0.39395648
ENSMUSG00000002221	-0.052954666
ENSMUSG00000002222	-0.16118042
ENSMUSG00000002227	-0.14481118
ENSMUSG00000002265	-0.17966636
ENSMUSG00000002279	-0.47965446
ENSMUSG00000002280	-0.0750107
ENSMUSG00000002289	-0.47651377
ENSMUSG00000002297	-0.062018793
ENSMUSG00000002307	-0.20344682
ENSMUSG00000002308	-0.21234207
ENSMUSG00000002320	-0.253769
ENSMUSG00000002329	-0.090035915
ENSMUSG00000002332	-0.1326957
ENSMUSG00000002343	-0.18930972
ENSMUSG00000002365	-0.49712676
ENSMUSG00000002372	-0.10090575
ENSMUSG00000002379	0.14997926
ENSMUSG00000002413	-0.4394423
ENSMUSG00000002416	-0.15932967
ENSMUSG00000002428	-0.2832293
ENSMUSG00000002458	-0.28906634
ENSMUSG00000002477	-0.27368107
ENSMUSG00000002496	-0.04419497
ENSMUSG00000002546	0.03681495
ENSMUSG00000002550	-0.22777021
ENSMUSG00000002580	0.018205453
ENSMUSG00000002625	-0.1308193
ENSMUSG00000002635	0.025073493
ENSMUSG00000002658	-0.2896184
ENSMUSG00000002660	-0.35102877
ENSMUSG00000002661	-0.20739345
ENSMUSG00000002718	-0.25098452
ENSMUSG00000002731	-0.1374131
ENSMUSG00000002733	-0.2845486
ENSMUSG00000002741	-0.1886518
ENSMUSG00000002748	-0.44470367
ENSMUSG00000002763	-0.029673591
ENSMUSG00000002767	-0.20347539
ENSMUSG00000002768	0.1354872
ENSMUSG00000002778	-0.0747929
ENSMUSG00000002797	-0.21101895
ENSMUSG00000002820	-0.3423707
ENSMUSG00000002825	-0.3105849
ENSMUSG00000002833	-0.19831541
ENSMUSG00000002844	0.276254
ENSMUSG00000002846	-0.018862182
ENSMUSG00000002871	0.004827441
ENSMUSG00000002900	-0.31323197
ENSMUSG00000002949	-0.23773034
ENSMUSG00000002957	-0.3127747
ENSMUSG00000002980	-0.4368021
ENSMUSG00000002981	-0.22612135
ENSMUSG00000002984	-0.08710702
ENSMUSG00000002985	-0.005877082
ENSMUSG00000002996	-0.04865582
ENSMUSG00000003031	-0.035105705
ENSMUSG00000003033	-0.061521363
ENSMUSG00000003037	-0.034909017
ENSMUSG00000003038	-0.19536999
ENSMUSG00000003051	-0.24642774
ENSMUSG00000003068	-0.11598861
ENSMUSG00000003070	-0.6570178
ENSMUSG00000003099	0.04491406
