	0
ENSMUSG00000000056	-0.7413653
ENSMUSG00000000078	-0.22594845
ENSMUSG00000000085	0.0771424
ENSMUSG00000000088	-0.30930337
ENSMUSG00000000131	-0.07735342
ENSMUSG00000000148	-1.2713768
ENSMUSG00000000149	-0.17044157
ENSMUSG00000000168	-0.25944528
ENSMUSG00000000171	-0.19090767
ENSMUSG00000000184	-0.9563842
ENSMUSG00000000194	-0.22459885
ENSMUSG00000000275	-0.14374763
ENSMUSG00000000282	-0.30199578
ENSMUSG00000000295	-0.7452241
ENSMUSG00000000296	-0.7440978
ENSMUSG00000000303	-0.3909808
ENSMUSG00000000325	-0.5042995
ENSMUSG00000000326	-0.5716338
ENSMUSG00000000339	-0.39308256
ENSMUSG00000000340	-0.27373832
ENSMUSG00000000346	-1.0273365
ENSMUSG00000000365	-0.92995423
ENSMUSG00000000384	-0.065585434
ENSMUSG00000000399	-0.5078288
ENSMUSG00000000409	-0.6121549
ENSMUSG00000000420	-0.2578345
ENSMUSG00000000439	-0.06330301
ENSMUSG00000000441	-0.31465453
ENSMUSG00000000552	0.065801665
ENSMUSG00000000555	-0.44112986
ENSMUSG00000000561	-0.56520045
ENSMUSG00000000563	-0.47332042
ENSMUSG00000000568	0.2975559
ENSMUSG00000000581	-0.76957434
ENSMUSG00000000594	-0.3969965
ENSMUSG00000000600	-0.71937585
ENSMUSG00000000605	-0.17285658
ENSMUSG00000000628	0.43645224
ENSMUSG00000000631	-0.564619
ENSMUSG00000000711	-0.28669062
ENSMUSG00000000730	-0.67249423
ENSMUSG00000000740	0.017319288
ENSMUSG00000000743	-0.5755492
ENSMUSG00000000751	-0.13132505
ENSMUSG00000000759	-0.86371344
ENSMUSG00000000776	0.02276972
ENSMUSG00000000782	-0.30578217
ENSMUSG00000000804	-0.5648105
ENSMUSG00000000805	-0.30767757
ENSMUSG00000000823	-0.44590878
ENSMUSG00000000826	-0.3679369
ENSMUSG00000000827	-0.32244807
ENSMUSG00000000838	-0.24182847
ENSMUSG00000000881	-0.4783619
ENSMUSG00000000884	-0.43802103
ENSMUSG00000000902	-0.33523402
ENSMUSG00000000916	-0.39336973
ENSMUSG00000000958	-0.342205
ENSMUSG00000000959	-0.28626794
ENSMUSG00000000976	0.013276597
ENSMUSG00000001016	-0.069910444
ENSMUSG00000001017	-0.94066924
ENSMUSG00000001018	-0.3998272
ENSMUSG00000001034	-0.2029037
ENSMUSG00000001036	-0.47975597
ENSMUSG00000001039	-0.22985661
ENSMUSG00000001054	-0.37800577
ENSMUSG00000001056	-1.5039014
ENSMUSG00000001082	-0.6210642
ENSMUSG00000001089	-0.0898724
ENSMUSG00000001100	-0.50518167
ENSMUSG00000001105	-0.14954543
ENSMUSG00000001120	0.05721551
ENSMUSG00000001134	-0.43396837
ENSMUSG00000001138	-0.5862951
ENSMUSG00000001143	-0.43025732
ENSMUSG00000001150	-0.44129616
ENSMUSG00000001151	-0.06540696
ENSMUSG00000001157	-0.49103594
ENSMUSG00000001158	0.25056732
ENSMUSG00000001175	-0.48400956
ENSMUSG00000001211	-0.57100546
ENSMUSG00000001229	-0.38849825
ENSMUSG00000001240	-0.8936102
ENSMUSG00000001247	-0.6486789
ENSMUSG00000001248	-0.4244562
ENSMUSG00000001249	-0.34230182
ENSMUSG00000001270	-0.46811166
ENSMUSG00000001285	-0.39012116
ENSMUSG00000001288	-0.1400927
ENSMUSG00000001300	-0.38904232
ENSMUSG00000001305	-0.44387117
ENSMUSG00000001376	-0.41309723
ENSMUSG00000001380	-0.048986424
ENSMUSG00000001403	-0.39168933
ENSMUSG00000001415	-0.0074314564
ENSMUSG00000001416	-0.80821645
ENSMUSG00000001418	-0.8991356
ENSMUSG00000001419	-0.529117
ENSMUSG00000001435	-0.34512326
ENSMUSG00000001440	0.0025574786
ENSMUSG00000001441	-0.08894082
ENSMUSG00000001445	-0.056760795
ENSMUSG00000001467	-0.07875632
ENSMUSG00000001472	-0.34287652
ENSMUSG00000001473	-0.45903835
ENSMUSG00000001507	-0.56035864
ENSMUSG00000001517	-0.11323317
ENSMUSG00000001518	-0.58300155
ENSMUSG00000001521	-0.10576892
ENSMUSG00000001524	-0.24239936
ENSMUSG00000001542	-1.0429046
ENSMUSG00000001552	-0.49344426
ENSMUSG00000001555	-0.3445576
ENSMUSG00000001569	-0.69712704
ENSMUSG00000001576	0.2579012
ENSMUSG00000001604	-0.88827467
ENSMUSG00000001630	-0.28015262
ENSMUSG00000001632	-0.121005714
ENSMUSG00000001642	-0.7165267
ENSMUSG00000001666	-1.006758
ENSMUSG00000001674	0.028449398
ENSMUSG00000001687	-0.3567992
ENSMUSG00000001700	0.09554918
ENSMUSG00000001707	-0.42528033
ENSMUSG00000001750	0.14545822
ENSMUSG00000001755	0.23528032
ENSMUSG00000001761	0.0009431448
ENSMUSG00000001767	0.29227787
ENSMUSG00000001774	-0.5806033
ENSMUSG00000001785	-0.65888464
ENSMUSG00000001786	-0.019927466
ENSMUSG00000001829	0.28632963
ENSMUSG00000001833	-0.17455256
ENSMUSG00000001844	-0.06631372
ENSMUSG00000001847	-1.1199303
ENSMUSG00000001855	-0.08849291
ENSMUSG00000001891	0.13708231
ENSMUSG00000001910	-0.6584095
ENSMUSG00000001918	-0.5807169
ENSMUSG00000001983	-0.6932597
ENSMUSG00000001998	-0.47521934
ENSMUSG00000002006	-0.61662483
ENSMUSG00000002010	-0.7977397
ENSMUSG00000002014	-0.707284
ENSMUSG00000002015	-0.4326809
ENSMUSG00000002017	-0.2323074
ENSMUSG00000002028	-0.34235173
ENSMUSG00000002031	-0.44238743
ENSMUSG00000002052	-0.13138844
ENSMUSG00000002055	-0.098542765
ENSMUSG00000002058	-0.63385403
ENSMUSG00000002059	-0.09469493
ENSMUSG00000002064	-0.23406592
ENSMUSG00000002068	0.17244479
ENSMUSG00000002076	-0.8317191
ENSMUSG00000002102	0.42493922
ENSMUSG00000002103	-0.016579654
ENSMUSG00000002129	-0.10642163
ENSMUSG00000002147	-0.33730528
ENSMUSG00000002221	-0.3583208
ENSMUSG00000002222	-0.16183624
ENSMUSG00000002227	0.053331655
ENSMUSG00000002265	0.17044742
ENSMUSG00000002279	-0.17433242
ENSMUSG00000002280	-0.14056383
ENSMUSG00000002289	-0.25718567
ENSMUSG00000002297	-0.47611946
ENSMUSG00000002307	0.035302944
ENSMUSG00000002308	-0.5167648
ENSMUSG00000002320	-0.2977124
ENSMUSG00000002329	-0.18464676
ENSMUSG00000002332	-0.34256175
ENSMUSG00000002343	0.23212585
ENSMUSG00000002365	-0.6355379
ENSMUSG00000002372	0.04067869
ENSMUSG00000002379	0.0043636034
ENSMUSG00000002413	-0.5954827
ENSMUSG00000002416	-0.0262116
ENSMUSG00000002428	-0.2767268
ENSMUSG00000002458	-0.45415273
ENSMUSG00000002477	0.16791737
ENSMUSG00000002496	-0.048418045
ENSMUSG00000002546	-0.5931131
ENSMUSG00000002550	0.28768262
ENSMUSG00000002580	-0.49561602
ENSMUSG00000002625	-0.6082972
ENSMUSG00000002635	-0.123881556
ENSMUSG00000002658	0.008231143
ENSMUSG00000002660	-0.47693783
ENSMUSG00000002661	-0.47831845
ENSMUSG00000002718	-0.0027155108
ENSMUSG00000002731	-0.4112329
ENSMUSG00000002733	-0.31639582
ENSMUSG00000002741	0.15941724
ENSMUSG00000002748	-0.30351973
ENSMUSG00000002763	-0.69072276
ENSMUSG00000002767	-0.20636353
ENSMUSG00000002768	-0.28626543
ENSMUSG00000002778	-0.8799132
ENSMUSG00000002797	-0.3585267
ENSMUSG00000002820	-0.7187929
ENSMUSG00000002825	-0.17560202
ENSMUSG00000002833	-0.34120548
ENSMUSG00000002844	-0.45448193
ENSMUSG00000002846	0.094456635
ENSMUSG00000002871	0.039276063
ENSMUSG00000002900	-0.6824896
ENSMUSG00000002949	-0.88367283
ENSMUSG00000002957	-0.46850848
ENSMUSG00000002980	-0.22191493
ENSMUSG00000002981	-0.49738783
ENSMUSG00000002984	-0.6153717
ENSMUSG00000002985	-0.56698185
ENSMUSG00000002996	-0.8187555
ENSMUSG00000003031	-0.43998203
ENSMUSG00000003033	-0.9621323
ENSMUSG00000003037	-0.80825937
ENSMUSG00000003038	-0.29103312
ENSMUSG00000003051	-0.0635211
ENSMUSG00000003068	-0.15553129
ENSMUSG00000003070	-0.51390874
ENSMUSG00000003099	-0.21125479
ENSMUSG00000003119	-0.67996585
ENSMUSG00000003131	-0.46065825
ENSMUSG00000003153	-0.58857393
ENSMUSG00000003166	-0.32970428
ENSMUSG00000003198	-0.75599533
ENSMUSG00000003200	-0.5725353
ENSMUSG00000003226	-0.7552261
ENSMUSG00000003233	-0.44705552
ENSMUSG00000003234	-0.20972314
ENSMUSG00000003235	-0.22436234
ENSMUSG00000003299	-0.31871924
ENSMUSG00000003308	-0.29278478
ENSMUSG00000003309	-1.1675036
ENSMUSG00000003316	-0.09896361
ENSMUSG00000003345	-1.3136728
ENSMUSG00000003346	-0.49396047
ENSMUSG00000003352	-0.51610297
ENSMUSG00000003355	-0.85738486
ENSMUSG00000003360	-0.9882476
ENSMUSG00000003363	-0.5151707
ENSMUSG00000003380	0.11908202
ENSMUSG00000003382	0.10612084
ENSMUSG00000003429	-0.10783466
ENSMUSG00000003435	-0.8248455
ENSMUSG00000003436	0.23042008
ENSMUSG00000003437	-0.47514883
ENSMUSG00000003438	-0.43930665
ENSMUSG00000003452	-0.7522222
ENSMUSG00000003458	-0.22245748
